Area,Location,Project_Name,BHK,Sale_price,Plot_no,Survey_no,GAT_No,No_Buildings,Brokerage_Lac,Covered_Parking,Open_Parking,cal_price,final_price
1445,Gahunje,Lodha Belmondo,3,1.36,"[nan, nan]",,,,0,0,1,13600000,13600000
4030,Gahunje,Lodha Belmondo,4,6.5,"[nan, nan]",,,,6.5,0,1,65000000,64350000
1800,Gultekdi,Hyde park,4,4,"[nan, nan]",,,,8,0,1,40000000,39200000
900,Pimple Gurav,TS Yashoda Puram,2,0.8,"[nan, nan]",,,,1.6,1,0,8000000,7840000
2368,Gahunje,Lodha Belmondo,4,3.3,"[nan, nan]",,,,0,0,1,33000000,33000000
2368,Gahunje,Lodha Belmondo,4,3.3,"[nan, nan]",,,,0,0,1,33000000,33000000
994,Gahunje,Lodha Belmondo,2,1.35,"[nan, nan]",,,,0,0,1,13500000,13500000
1445,Gahunje,Lodha Belmondo,3,1.65,"[nan, nan]",,,,0,0,1,16500000,16500000
1111,Gokhalenagar,Tejraaj Group Divyatej,3,1.35,"[nan, nan]",,,,0,0,1,13500000,13500000
768,Gokhalenagar,Tejraaj Group Divyatej,2,0.9,"[nan, nan]",,,,0,0,1,9000000,9000000
495,Gahunje,Lodha Belmondo,1,0.52,"[nan, nan]",,,,1,0,1,5200000,5100000
2000,Gahunje,Lodha Belmondo,4,2.35,"[nan, nan]",,,,2.5,0,1,23500000,23250000
2000,Gahunje,Lodha Belmondo,4,2.15,"[nan, nan]",,,,2.1,0,1,21500000,21290000
1249,Gahunje,Lodha Belmondo,2,1.05,"[nan, nan]",,,,1,0,1,10500000,10400000
495,Gahunje,Lodha Belmondo,1,0.65,"[nan, nan]",,,,1.7,0,1,6500000,6330000
1000,Gahunje,Lodha Belmondo,2,0.78,"[nan, nan]",,,,1.4,1,0,7800000,7660000
2000,Gahunje,Lodha Belmondo,4,2.5,"[nan, nan]",,,,2.5,0,1,25000000,24750000
2000,Gahunje,Lodha Belmondo,4,2.3,"[nan, nan]",,,,2.3,0,1,23000000,22770000
1700,Gahunje,Lodha Belmondo,3,2.3,"[nan, nan]",,,,2.3,0,1,23000000,22770000
1445,Gahunje,Lodha Belmondo,3,1.75,"[nan, nan]",,,,1.8,0,1,17500000,17320000
1445,Gahunje,Lodha Belmondo,3,1.6,"[nan, nan]",,,,1.6,0,1,16000000,15840000
1445,Gahunje,Lodha Belmondo,3,1.45,"[nan, nan]",,,,1.4,0,1,14500000,14360000
1300,Gahunje,Lodha Belmondo,2,1.1,"[nan, nan]",,,,1,0,1,11000000,10900000
800,Pimple Gurav,Shree Nagar,2,0.5,"[nan, nan]",,,,1,0,0,5000000,4900000
495,Gahunje,Lodha Belmondo,1,0.45,"[nan, nan]",,,,0,0,1,4500000,4500000
495,Gahunje,Lodha Belmondo,1,0.5,"[nan, nan]",,,,0,0,1,5000000,5000000
495,Gahunje,Lodha Belmondo,1,0.55,"[nan, nan]",,,,0,0,1,5500000,5500000
495,Gahunje,Lodha Belmondo,1,0.62,"[nan, nan]",,,,0,0,1,6200000,6200000
940,Gahunje,Lodha Belmondo,2,0.8,"[nan, nan]",,,,1.6,0,1,8000000,7840000
1260,Gahunje,Lodha Belmondo,2,1.25,"[nan, nan]",,,,1.3,0,1,12500000,12370000
1299,Gahunje,Lodha Belmondo,2,1.3,"[nan, nan]",,,,1.3,0,1,13000000,12870000
1245,Gahunje,Lodha Belmondo,2,1.25,"[nan, nan]",,,,0,0,1,12500000,12500000
1000,Gahunje,Lodha Belmondo,2,0.85,"[nan, nan]",,,,0,0,1,8500000,8500000
1000,Gahunje,Lodha Belmondo,2,0.95,"[nan, nan]",,,,0,0,1,9500000,9500000
1448,Gahunje,Lodha Belmondo,3,1.48,"[nan, nan]",,,,1.5,0,1,14800000,14650000
990,Gahunje,Lodha Belmondo,2,0.85,"[nan, nan]",,,,0,0,1,8500000,8500000
994,Gahunje,Lodha Belmondo,2,0.82,"[nan, nan]",,,,0,1,0,8200000,8200000
1700,Gahunje,Lodha Belmondo,3,1.7,"[nan, nan]",,,,1.7,0,1,17000000,16830000
1445,Gahunje,Lodha Belmondo,3,2,"[nan, nan]",,,,2,0,1,20000000,19800000
1445,Gahunje,Lodha Belmondo,3,1.35,"[nan, nan]",,,,1.4,0,1,13500000,13360000
495,Gahunje,Lodha Belmondo,1,0.68,"[nan, nan]",,,,1.2,0,1,6800000,6680000
1260,Gahunje,Lodha Belmondo,2,1.3,"[nan, nan]",,,,1.5,0,1,13000000,12850000
422,Talegaon,Aayush Park III,1,0.216,,40/1+41/3,,3,0,0,0,2160000,2160000
630,Talegaon,Aayush Park III,2,0.3291,,40/1+41/3,,3,0,0,0,3291000,3291000
1250,Gahunje,Lodha Belmondo,2,1.1,"[nan, nan]",,,,1.2,0,1,11000000,10880000
490,Gahunje,Lodha Belmondo,1,0.58,"[nan, nan]",,,,1.2,0,1,5800000,5680000
950,Gahunje,Lodha Belmondo,2,0.83,"[nan, nan]",,,,1.6,1,0,8300000,8140000
1448,Gahunje,Lodha Belmondo,3,1.65,"[nan, nan]",,,,1.6,0,1,16500000,16340000
1445,Gahunje,Lodha Estancia,3,1.6,"[nan, nan]",,,,1.6,0,1,16000000,15840000
1460,Gahunje,Lodha Belmondo,3,1.85,"[nan, nan]",,,,2,0,1,18500000,18300000
700,Pimple Gurav,Tulsi Gokul Nagari Society,2,0.63,"[nan, nan]",,,,1.2,0,1,6300000,6180000
612,Pimpri Chinchwad,The Central Park Phase I,2,0.68,,,,5,0,0,0,6800000,6800000
1571,Pimpri Chinchwad,The Central Park Phase I,4,1.95,,,,5,0,0,0,19500000,19500000
487,Pimpri Chinchwad,Pristine Equilife Homes Phase III,2,0.62,,04-Jan,,,0,0,0,6200000,6200000
643,Pimpri Chinchwad,Pristine Equilife Homes Phase III,2,0.8173,,04-Jan,,,0,0,0,8173000,8173000
444,Hadapsar,Subhash Builders Vardhaman Township,1,0.33,,,,4,0,0,0,3300000,3300000
673,Hadapsar,Subhash Builders Vardhaman Township,2,0.49,,,,4,0,0,0,4900000,4900000
700,Pimple Gurav,Trimurti Ckassic Pimple Gurav,2,0.56,"[nan, nan]",,,,1,0,0,5600000,5500000
669,Pimpri Chinchwad,Rama Metro Life Maxima Residences,2,0.6254,,,,2,0,0,0,6254000,6254000
846,Pimpri Chinchwad,Rama Metro Life Maxima Residences,3,0.7621,,,,2,0,0,0,7621000,7621000
672,Balewadi,Gagan Klara,2,0.8377,,38,,3,0,0,0,8377000,8377000
976,Balewadi,Gagan Klara,3,1.22,,38,,3,0,0,0,12200000,12200000
503,Pimpri Chinchwad,Veddant Ganesh Bella Rossa Phase 2,2,0.5728,,,,2,0,0,0,5728000,5728000
830,Pimpri Chinchwad,Veddant Ganesh Bella Rossa Phase 2,3,0.7586,,,,2,0,0,0,7586000,7586000
651,Mundhwa,Unique Legacy,3,0.585,,35,,2,0,0,0,5850000,5850000
1120,Mundhwa,Unique Legacy,5,0.9825,,35,,2,0,0,0,9825000,9825000
755,Mundhwa,K City,2,0.6242,,37,,3,0,0,0,6242000,6242000
987,Mundhwa,K City,3,0.798,,37,,3,0,0,0,7980000,7980000
509,Pimpri Chinchwad,VTP Aethereus,2,0.5157,,,,,0,0,0,5157000,5157000
839,Pimpri Chinchwad,VTP Aethereus,3,0.9982,,,,,0,0,0,9982000,9982000
1550,Karve Nagar,Sahwas Society,4,2.78,"[nan, nan]",,,,2.8,1,0,27800000,27520000
770,Pimpri Chinchwad,Gawade Galaxy,2,0.59,,74,,2,0,0,0,5900000,5900000
785,Pimpri Chinchwad,Gawade Galaxy,2,0.6,,74,,2,0,0,0,6000000,6000000
882,Mundhwa,Mantra Code Name Infinity Phase 1,2,0.97,,,,2,0,0,0,9700000,9700000
1103,Mundhwa,Mantra Code Name Infinity Phase 1,3,1.2,,,,2,0,0,0,12000000,12000000
960,Gahunje,Lodha Belmondo,2,0.9,,,,17,0,0,0,9000000,9000000
1450,Gahunje,Lodha Belmondo,3,1.25,,,,17,0,0,0,12500000,12500000
834,Mundhwa,Ahura Osian One And Only Phase I,2,1.08,,,,2,0,0,0,10800000,10800000
1148,Mundhwa,Ahura Osian One And Only Phase I,3,1.47,,,,2,0,0,0,14700000,14700000
254,Somatane,Rohan Anand Phase I,1,0.19,,,110,3,0,0,0,1900000,1900000
500,Somatane,Rohan Anand Phase I,2,0.32,,,110,3,0,0,0,3200000,3200000
667,Pisoli,ARV Newtown,2,0.4363,,"14,15 ",,14,0,0,0,4363000,4363000
991,Pisoli,ARV Newtown,3,0.656,,"14,15 ",,14,0,0,0,6560000,6560000
1800,Karve Nagar,Goldspace,4,2.8,"[nan, nan]",,,,2.8,1,0,28000000,27720000
394,Pimpri Chinchwad,Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase I,1,0.3205,,,,3,0,0,0,3205000,3205000
560,Pimpri Chinchwad,Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase I,2,0.4419,,,,3,0,0,0,4419000,4419000
594,Pimpri Chinchwad,Millennium Legacy Millennia A,2,0.58,,27-Jan,,,0,0,0,5800000,5800000
637,Pimpri Chinchwad,Millennium Legacy Millennia A,3,0.79,,27-Jan,,,0,0,0,7900000,7900000
660,Pimpri Chinchwad,My Home Kiwale,2,0.4671,"[nan, nan]",8,,2,0,0,0,4671000,4671000
435,Pimpri Chinchwad,Shivom,1,0.335,,,,3,0,0,0,3350000,3350000
457,Pimpri Chinchwad,Shivom,1,0.355,,,,3,0,0,0,3550000,3550000
775,Wagholi,Green Republic,2,0.6454, 1395/2 ,,,2,0,0,0,6454000,6454000
1056,Wagholi,Green Republic,2,0.8831, 1395/2 ,,,2,0,0,0,8831000,8831000
468,Pimpri Chinchwad,Aarambh Residency,1,0.3272,,79,,,0,0,0,3272000,3272000
617,Pimpri Chinchwad,Aarambh Residency,2,0.4214,,79,,,0,0,0,4214000,4214000
481,Wagholi,Manav Wildwoods Phase 1,2,0.4381,,,1202,,0,0,0,4381000,4381000
527,Wagholi,Manav Wildwoods Phase 1,2,0.48,,,1202,,0,0,0,4800000,4800000
650,Sinhagad Road,Nanded Kalashree,2,0.575,,67,,,0,0,0,5750000,5750000
700,Sinhagad Road,Nanded Kalashree,2.5,0.59,,67,,,0,0,0,5900000,5900000
667,Magarpatta Road,Kumar 47 East A,2,0.74,,,,,0,0,0,7400000,7400000
829,Magarpatta Road,Kumar 47 East A,2,0.9197,,,,,0,0,0,9197000,9197000
468,Mahalunge,Godrej Green Vistas,1,0.425,,,,4,0,0,0,4250000,4250000
815,Mahalunge,Godrej Green Vistas,3,0.735,,,,4,0,0,0,7350000,7350000
945,Kasarwadi,Shastri Nagar,2,0.64,"[nan, nan]",,,,1.3,0,0,6400000,6270000
881,Mohammadwadi,Chaphalkar Elina Living,2,0.75,"[nan, nan]","4319 A, Plot C, ",,6,0,0,0,7500000,7500000
582,Mundhwa,Excellaa Tremont,2,0.485,"[nan, nan]", 41/14,,,0,0,0,4850000,4850000
546,Bibwewadi Road,Jeeva,2,0.8171,['Plot No. 635/5'],,,,0,0,0,8171000,8171000
574,Bibwewadi Road,Jeeva,2,0.8634,['Plot No. 635/5'],,,,0,0,0,8634000,8634000
578,Pune,Tejraaj Group Elevia,1,0.6,,,,2,0,0,0,6000000,6000000
991,Pune,Tejraaj Group Elevia,3,1.35,,,,2,0,0,0,13500000,13500000
693,Pimpri Chinchwad,GK Developer Atlanta,1,0.3534,,,,7,0,0,0,3534000,3534000
1600,Pimpri Chinchwad,GK Developer Atlanta,3,0.816,,,,7,0,0,0,8160000,8160000
345,Pimpri Chinchwad,Krishna Fairmont,1,0.56,,,,2,0,0,0,5600000,5600000
1040,Pimpri Chinchwad,Krishna Fairmont,4,1.2,,,,2,0,0,0,12000000,12000000
425,Manjri,Shapoorji Pallonji Joyville Hadapsar Annexe Phase 2,1,0.4253,,,,,0,0,0,4253000,4253000
651,Manjri,Shapoorji Pallonji Joyville Hadapsar Annexe Phase 2,2,0.6508,,,,,0,0,0,6508000,6508000
471,Porwal Road,Choice Goodwill Breeza Phase 2,1,0.4,,14,,5,0,0,0,4000000,4000000
620,Porwal Road,Choice Goodwill Breeza Phase 2,2,0.512,,14,,5,0,0,0,5120000,5120000
1165,Yerawada,Sagitarius Bluegrass Residences Tower I,3,2.12,,,,,0,0,0,21200000,21200000
2212,Yerawada,Sagitarius Bluegrass Residences Tower I,4,4.05,,,,,0,0,0,40500000,40500000
539,Talegaon Dabhade,Vastu Rajyog,1,0.235, 3-4,7386-7387,,,0,0,0,2350000,2350000
814,Talegaon Dabhade,Vastu Rajyog,2,0.3382, 3-4,7386-7387,,,0,0,0,3382000,3382000
513,Mundhwa,Triaa Elysia,1,0.5129,,33 3,,,0,0,0,5129000,5129000
653,Mundhwa,Triaa Elysia,2,0.6529,,33 3,,,0,0,0,6529000,6529000
623,Paud Road,Mont Vert Kingstown Sector 1 Residential Wings,2,0.53,,,,2,0,0,0,5300000,5300000
650,Paud Road,Mont Vert Kingstown Sector 1 Residential Wings,2,0.55,,,,2,0,0,0,5500000,5500000
747,Mundhwa,Adani Atelier Greens,3,1.45,,,,7,0,0,0,14500000,14500000
1660,Mundhwa,Adani Atelier Greens,5,2.95,,,,7,0,0,0,29500000,29500000
698,Viman Nagar,Marvel Piazza Phase 01,4,1.95,,,,11,0,0,0,19500000,19500000
2361,Viman Nagar,Marvel Piazza Phase 01,4.5,5.6,,,,11,0,0,0,56000000,56000000
2198,Swargate,ABIL Avanti,3,6.7,"[nan, nan]",,,,0,0,0,67000000,67000000
418,Mundhwa,Choice Goodwill Crescent,2,0.51,,,,3,0,0,0,5100000,5100000
623,Mundhwa,Choice Goodwill Crescent,2,0.58,,,,3,0,0,0,5800000,5800000
438,Wagholi,Goel Ganga Hill Shire Ph I,2,0.3199,,,866,2,0,0,0,3199000,3199000
1001,Wagholi,Goel Ganga Hill Shire Ph I,5,0.6962,,,866,2,0,0,0,6962000,6962000
627,Balewadi,Majestique Signature Towers,2,0.7936,,,,,0,0,0,7936000,7936000
724,Balewadi,Majestique Signature Towers,2,0.945,,,,,0,0,0,9450000,9450000
885,Sus Road-Pashan,Rachana Bella Casa Tower A,2,0.73,,,,,0,0,0,7300000,7300000
1118,Sus Road-Pashan,Rachana Bella Casa Tower A,3,0.97,,,,,0,0,0,9700000,9700000
400,Pimpri Chinchwad,Rohan Ananta,1,0.3533,,,,12,0,0,0,3533000,3533000
741,Pimpri Chinchwad,Rohan Ananta,2,0.6499,,,,12,0,0,0,6499000,6499000
560,Sinhagad Road,Guardian Cityscapes Phase 1,2,0.6426,,115/3/1,,3,0,0,0,6426000,6426000
978,Sinhagad Road,Guardian Cityscapes Phase 1,3,1.12,,115/3/1,,3,0,0,0,11200000,11200000
564,Ambegaon Budruk,Balaji Pride,1,0.3,,,,,0,0,1,3000000,3000000
564,Ambegaon Budruk,Balaji Pride,1,0.3,,,,,0,0,1,3000000,3000000
2100,Pimple Gurav,Trimurti Colony,5,1.15,"[nan, nan]",,,,2.3,0,0,11500000,11270000
514,Pimpri Chinchwad,Allure,1,0.44,63/2 ,,,2,0,0,0,4400000,4400000
780,Pimpri Chinchwad,Allure,2.5,0.66,63/2 ,,,2,0,0,0,6600000,6600000
422,Pimpri Chinchwad,Lunkad RKL Anand,1,0.31,, 126+127/4,,,0,0,0,3100000,3100000
689,Pimpri Chinchwad,Lunkad RKL Anand,2,0.473,, 126+127/4,,,0,0,0,4730000,4730000
1602,Pune,Bhandari 43 Privet Drive,3,2.18,,,,5,0,0,0,21800000,21800000
1723,Pune,Bhandari 43 Privet Drive,3,2.33,,,,5,0,0,0,23300000,23300000
1338,Pune,Naiknavare Eminence Project 1,4,2.43,230,,,,0,0,0,24300000,24300000
2543,Pune,Naiknavare Eminence Project 1,4.5,4.21,230,,,,0,0,0,42100000,42100000
736,Pimpri Chinchwad,K Town,3,0.5824,,39,,3,0,0,0,5824000,5824000
1035,Pimpri Chinchwad,K Town,5,0.793,,39,,3,0,0,0,7930000,7930000
635,Pimpri Chinchwad,Krishna Amarillo,2,0.51,,,,,0,0,0,5100000,5100000
867,Pimpri Chinchwad,Krishna Amarillo,3,0.6961,,,,,0,0,0,6961000,6961000
627,Pimpri Chinchwad,Adiamville,2,0.52,,,,2,0,0,0,5200000,5200000
853,Pimpri Chinchwad,Adiamville,3,0.7056,,,,2,0,0,0,7056000,7056000
451,Pimpri Chinchwad,W 57,1,0.391,,,,,0,0,0,3910000,3910000
761,Pimpri Chinchwad,W 57,2,0.695,,,,,0,0,0,6950000,6950000
660,Pimpri Chinchwad,Kohinoor Sapphire,2,0.5437,"[' 41/2 ', ' 41/2 ']",,,9,0,0,0,5437000,5437000
800,Pimple Gurav,Gaytri niwas,2,0.59,"[nan, nan]",,,,1.2,0,0,5900000,5780000
592,Undri,Mantra Essence Phase 4,2,0.52,,56,,,0,0,0,5200000,5200000
691,Undri,Mantra Essence Phase 4,3,0.66,,56,,,0,0,0,6600000,6600000
294,Phursungi,Majestique Aqua Phase III,1,0.2689,,134 Part,,,0,0,0,2689000,2689000
589,Phursungi,Majestique Aqua Phase III,2,0.4059,,134 Part,,,0,0,0,4059000,4059000
725,Mundhwa - Hadapsar,Sukhwani Hermosa Casa,2,0.7128,,51/3A/1,,,0,0,0,7128000,7128000
744,Mundhwa - Hadapsar,Sukhwani Hermosa Casa,2,0.7299,,51/3A/1,,,0,0,0,7299000,7299000
658,Sus Road-Pashan,VTP Sierra Phase 1,2,0.6052,,,,3,0,0,0,6052000,6052000
1087,Sus Road-Pashan,VTP Sierra Phase 1,3,1,,,,3,0,0,0,10000000,10000000
586, Kothrud,Badhekar Keshar,1,1.11,361/3 ,,,,0,0,0,11100000,11100000
1387, Kothrud,Badhekar Keshar,4,2.55,361/3 ,,,,0,0,0,25500000,25500000
537,Hinjewadi,Shapoorji Codename Tornado,2,0.655,,,,2,0,0,0,6550000,6550000
792,Hinjewadi,Shapoorji Codename Tornado,3,0.945,,,,2,0,0,0,9450000,9450000
678,Hadapsar,Kumar Prospera,2,0.6983,,,,,0,0,0,6983000,6983000
1242,Hadapsar,Kumar Prospera,3,1.28,,,,,0,0,0,12800000,12800000
681,Pimpri Chinchwad,Rising Kohinoor Grandeur,3,0.887,,,,,0,0,0,8870000,8870000
687,Pimpri Chinchwad,Rising Kohinoor Grandeur,3,1.37,,,,,0,0,0,13700000,13700000
389,Dhanori Road,Raojee Palladium Plus,1,0.42,,17-Jan,,4,0,0,0,4200000,4200000
637,Dhanori Road,Raojee Palladium Plus,2,0.7384,,17-Jan,,4,0,0,0,7384000,7384000
343,Kothrud,Badhekar Ramkrupa,4,1.04,123,,,,0,0,0,10400000,10400000
1597,Kothrud,Badhekar Ramkrupa,4.5,3.03,123,,,,0,0,0,30300000,30300000
714,Balewadi,Rigved Uptown Phase I,2,0.6651,"[nan, nan]", 41/5,,11,0,0,0,6651000,6651000
396,Pimpri Chinchwad,Godrej Hillside 1,1,0.39,,40,,3,0,0,0,3900000,3900000
812,Pimpri Chinchwad,Godrej Hillside 1,3,0.8627,,40,,3,0,0,0,8627000,8627000
745,Sus Road-Pashan,Goel Ganga Acropolis,2,0.7964,,41,,5,0,0,0,7964000,7964000
1066,Sus Road-Pashan,Goel Ganga Acropolis,2,0.9647,,41,,5,0,0,0,9647000,9647000
714,Airport Road,Mantra 29 Gold Coast,2,0.5573,,29,,10,0,0,0,5573000,5573000
1006,Airport Road,Mantra 29 Gold Coast,3,0.9837,,29,,10,0,0,0,9837000,9837000
785,Mohammadwadi,Kumar Palmspring Towers A6 A7 And B3,2,0.643,,12:00 PM,,3,0,0,0,6430000,6430000
1118,Mohammadwadi,Kumar Palmspring Towers A6 A7 And B3,3,0.9365,,12:00 PM,,3,0,0,0,9365000,9365000
1336,Baner,Kasturi The Balmoral Riverside Phase II,3,1.8,,13-Mar,,,0,0,0,18000000,18000000
3038,Baner,Kasturi The Balmoral Riverside Phase II,5,4,,13-Mar,,,0,0,0,40000000,40000000
438,Pimpri Chinchwad,iOS Tathawade,3,0.3547,,,,2,0,0,0,3547000,3547000
1000,Pimpri Chinchwad,iOS Tathawade,5,0.7833,,,,2,0,0,0,7833000,7833000
510,Pimpri Chinchwad,Padmavati Lakeshore,1,0.4656,107/3/1/,,,,0,0,0,4656000,4656000
798,Pimpri Chinchwad,Padmavati Lakeshore,2,0.7399,107/3/1/,,,,0,0,0,7399000,7399000
749,Sus Road-Pashan,Rachana Bellacasa Royale Tower B,2,0.86,,,,,0,0,0,8600000,8600000
945,Sus Road-Pashan,Rachana Bellacasa Royale Tower B,3,1.34,,,,,0,0,0,13400000,13400000
670,Mohammadwadi,Sigma Aventino,2,0.625,,,,,0,0,0,6250000,6250000
731,Mohammadwadi,Sigma Aventino,2,0.6826,,,,,0,0,0,6826000,6826000
617,Plot No B1 Sr No 22 Hissa No 2,Goel Ganga Altus Wing D And E,2,0.65,Plot No B1 ,22,,5,0,0,0,6500000,6500000
802,Plot No B1 Sr No 22 Hissa No 2,Goel Ganga Altus Wing D And E,3,0.8667,Plot No B1 ,22,,5,0,0,0,8667000,8667000
572,Pimpri Chinchwad,Pethkar Siyona Phase II,2,0.62,,"47 Part, 48 Part, 50 Part",,2,0,0,0,6200000,6200000
884,Pimpri Chinchwad,Pethkar Siyona Phase II,3,0.9,,"47 Part, 48 Part, 50 Part",,2,0,0,0,9000000,9000000
788,Pimpri Chinchwad,Pharande Felicity,3,0.6789,,78,,3,0,0,0,6789000,6789000
1050,Pimpri Chinchwad,Pharande Felicity,5,0.9063,,78,,3,0,0,0,9063000,9063000
508,Pimple Saudagar,Apple Galaxy,1,0.4357,"[nan, nan]",,,,0,0,1,4357000,4357000
898,Baner,Kasturi The Balmoral Riverside,2,1.27,,13-Mar,,,0,0,0,12700000,12700000
3038,Baner,Kasturi The Balmoral Riverside,5,4,,13-Mar,,,0,0,0,40000000,40000000
808,BT Kawade Road,Kohinoor Presidentia,2,0.75,,,,,0,0,0,7500000,7500000
1086,BT Kawade Road,Kohinoor Presidentia,3,1.15,,,,,0,0,0,11500000,11500000
316,Pimpri Chinchwad,Nexus Westpride,1,0.3518,,,,,0,0,0,3518000,3518000
624,Pimpri Chinchwad,Nexus Westpride,3,0.675,,,,,0,0,0,6750000,6750000
628,Pimpri Chinchwad,Kesar High Street,2,0.65,,,,,0,0,0,6500000,6500000
822,Pimpri Chinchwad,Kesar High Street,3,0.7999,,,,,0,0,0,7999000,7999000
440,Pimpri Chinchwad,Bhalchandra Upvan,1,0.3426,,,,6,0,0,0,3426000,3426000
693,Pimpri Chinchwad,Bhalchandra Upvan,2,0.563,,,,6,0,0,0,5630000,5630000
627,Pimpri Chinchwad,Rajluckxmi Stellar Homes,2,0.559,,,,,0,0,0,5590000,5590000
648,Pimpri Chinchwad,Rajluckxmi Stellar Homes,2,0.5733,,,,,0,0,0,5733000,5733000
964,Balewadi,Kunal Aspiree Phase IV,3,1.81,,49,,,0,0,0,18100000,18100000
1240,Balewadi,Kunal Aspiree Phase IV,4,2.32,,49,,,0,0,0,23200000,23200000
656,Pimpri Chinchwad,Kohinoor Sapphire Pune,2,0.4871,"[nan, nan]", P/2B And S,,,0,0,0,4871000,4871000
679,Mohammadwadi,Pragati Serene,2,0.4984,"[nan, nan]",,,,0,0,0,4984000,4984000
692,Pimpri Chinchwad,Urban Skyline Phase I,2,0.6009,,,,4,0,0,0,6009000,6009000
738,Pimpri Chinchwad,Urban Skyline Phase I,2,0.6376,,,,4,0,0,0,6376000,6376000
445,Pimpri Chinchwad,Vardhaman Moonstone,1,0.365,,99 Part,,3,0,0,0,3650000,3650000
964,Pimpri Chinchwad,Vardhaman Moonstone,3,0.7886,,99 Part,,3,0,0,0,7886000,7886000
593,Kharadi,Duville Riverdale Grove,2,0.6507,,,,3,0,0,0,6507000,6507000
793,Kharadi,Duville Riverdale Grove,2,0.8673,,,,3,0,0,0,8673000,8673000
688,Pimpri Chinchwad,Park District,2,0.5999,,,,12,0,0,0,5999000,5999000
1017,Pimpri Chinchwad,Park District,3,0.9199,,,,12,0,0,0,9199000,9199000
460,Sada Satra Nali,Sai Proviso Leisure Town,1,0.4225,,202,,17,0,0,0,4225000,4225000
743,Sada Satra Nali,Sai Proviso Leisure Town,2,0.6522,,202,,17,0,0,0,6522000,6522000
394,Pimpri Chinchwad,TCG The Cliff Garden,1,0.3403, R 2/1 ,,,2,0,0,0,3403000,3403000
660,Pimpri Chinchwad,TCG The Cliff Garden,2,0.65, R 2/1 ,,,2,0,0,0,6500000,6500000
682,Hinjewadi,Kolte Patil Life Republic Sector R7 7th Avenue I Towers,2,0.5788,86,,,2,0,0,0,5788000,5788000
799,Hinjewadi,Kolte Patil Life Republic Sector R7 7th Avenue I Towers,3,0.6948,86,,,2,0,0,0,6948000,6948000
499,Pimpri Chinchwad,Jhamtani Vision Ace Phase II,2,0.58,89,1 Part,,2,0,0,0,5800000,5800000
645,Pimpri Chinchwad,Jhamtani Vision Ace Phase II,3,0.7361,89,1 Part,,2,0,0,0,7361000,7361000
902,Undri,Dynamic Grandeur Premium G,3,0.79,,,,,0,0,0,7900000,7900000
950,Undri,Dynamic Grandeur Premium G,3,0.832,,,,,0,0,0,8320000,8320000
1482,Pune,Panchshil Realty Towers,4,2.4,,,,,0,0,0,24000000,24000000
4603,Pune,Panchshil Realty Towers,5,8.51,,,,,0,0,0,85100000,85100000
729,Baner,Shree Palaash Oak,2,0.7001,,53/10 ,,,0,0,0,7001000,7001000
794,Baner,Shree Palaash Oak,2,0.7576,,53/10 ,,,0,0,0,7576000,7576000
634,Phursungi,Kumar Park Infinia,2,0.61,,214,,6,0,0,0,6100000,6100000
764,Phursungi,Kumar Park Infinia,2,0.701,,214,,6,0,0,0,7010000,7010000
660,Baner,Rachana Eternia,2,0.69,,17-01-2002,,,0,0,0,6900000,6900000
690,Baner,Rachana Eternia,2,0.72,,17-01-2002,,,0,0,0,7200000,7200000
560,Kharadi,Goel Ganga Arcadia A Building,2,0.5483,,,,,0,0,0,5483000,5483000
1084,Kharadi,Goel Ganga Arcadia A Building,3,1.06,,,,,0,0,0,10600000,10600000
950,Pimpri Chinchwad,Kiran Sufal,2,0.6,"[nan, nan]",,,,0,0,0,6000000,6000000
1750,Baner-Pashan Link Road,Kumar Peninsula,3,1.05,,135,,4,0,0,0,10500000,10500000
3046,Baner-Pashan Link Road,Kumar Peninsula,3,1.83,,135,,4,0,0,0,18300000,18300000
525,Dhanori,Mantra Montana,1,0.35,,7,,,0,0,0,3500000,3500000
978,Dhanori,Mantra Montana,3,0.63,,7,,,0,0,0,6300000,6300000
635,Pimpri Chinchwad,Auralia Residency,2,0.4496,,,,,0,0,0,4496000,4496000
683,Pimpri Chinchwad,Auralia Residency,2,0.4801,,,,,0,0,0,4801000,4801000
903,Bavdhan,Kolte Patil 24 K Stargaze,3,1.27,,,,,0,0,0,12700000,12700000
1751,Bavdhan,Kolte Patil 24 K Stargaze,4,2.41,,,,,0,0,0,24100000,24100000
709,Pimpri Chinchwad,Sentosa Pride,2,0.4909,,['S No.16'],,3,0,0,0,4909000,4909000
922,Pimpri Chinchwad,Sentosa Pride,3,0.6481,,['S No.16'],,3,0,0,0,6481000,6481000
2813,Swargate,Avaanti Residency ABIL,4,6.31,"[nan, nan]",,,,0,1,0,63100000,63100000
2100,Range Hill Estate,ABIL Group Castel Royale Excellente,3,4.9,"[nan, nan]",,,,0,1,0,49000000,49000000
1035,Shaniwar Peth,Chintamani complex,2,1.1,"[nan, nan]",,,,0,0,1,11000000,11000000
714,Balewadi,Rigved Uptown,2,0.69,"[nan, nan]",,,,0,1,0,6900000,6900000
1719,Balewadi,Kunal Aspiree,4,2.05,"[nan, nan]",,,,0,1,0,20500000,20500000
