Area,Location,Project_Name,BHK,Sale_price,Plot_no,Survey_no,GAT_No,No_Buildings,Brokerage_Lac,Covered_Parking,Open_Parking,cal_price,final_price
627,Pimpri Chinchwad,Divine Dazzle,2,0.6282,,70/2,,2,0,0,0,6282000,6282000
632,Pimpri Chinchwad,Divine Dazzle,2,0.6464,,70/2,,2,0,0,0,6464000,6464000
1700,Talegaon Dabhade,Pharande Vaarivana Phase A2,3,1.5,,,,,0,0,0,15000000,15000000
2300,Talegaon Dabhade,Pharande Vaarivana Phase A2,4,2.1,,,,,0,0,0,21000000,21000000
468,Pune Cantonment,Godrej,1,0.42,"[nan, nan]",,,,0,0,1,4200000,4200000
1345,Baner,Kolte Patil 24K Sereno,3,1.55,"[nan, nan]",,,,3.1,1,0,15500000,15190000
1350,Kharadi,Geras Song Of Joy,3,1.65,"[nan, nan]",,,,1,0,1,16500000,16400000
780,Bavdhan,Puraniks Abitante Phase 1A,2,0.68,"[nan, nan]",,,,1.6,1,0,6800000,6640000
1200,Sus,VTP Sierra Phase 2,3,1.1,"[nan, nan]",,,,0,1,0,11000000,11000000
650,Khadakwasla,Urbane Homedale,2,0.4,"[nan, nan]",,,,0,0,1,4000000,4000000
611,Pimpri Chinchwad,Runwal The Central Park,2,0.72,,,,,0,0,0,7200000,7200000
1920,Pimpri Chinchwad,Runwal The Central Park,4,2.17,,,,,0,0,0,21700000,21700000
771,Pimpri Chinchwad,Laxmi Avenue,2,0.8087,"167/5, 167/6, 167/7 ",,,,0,0,0,8087000,8087000
844,Pimpri Chinchwad,Laxmi Avenue,2,0.8444,"167/5, 167/6, 167/7 ",,,,0,0,0,8444000,8444000
338,Talegaon Dhamdhere,Kshitij,1,0.1699,,,"3,51,33,515",3,0,0,0,1699000,1699000
561,Talegaon Dhamdhere,Kshitij,2,0.27,,,"3,51,33,515",3,0,0,0,2700000,2700000
575,Pimpri Chinchwad,Purnam,2,0.4077,,282/2,,,0,0,0,4077000,4077000
954,Pimpri Chinchwad,Purnam,3,0.6998,,282/2,,,0,0,0,6998000,6998000
666,Bavdhan,Sankla Sommet,2,0.522,,,,2,0,0,0,5220000,5220000
949,Bavdhan,Sankla Sommet,3,0.7241,,,,2,0,0,0,7241000,7241000
395,Chakan,Shri Sai Park,1,0.1751,,,,2,0,0,0,1751000,1751000
627,Chakan,Shri Sai Park,2,0.272,,,,2,0,0,0,2720000,2720000
428,Vadgaon Budruk,RS Kalpvruksh,2,0.4009,"74/2, 74/6 ",,,,0,0,0,4009000,4009000
669,Vadgaon Budruk,RS Kalpvruksh,5,0.6684,"74/2, 74/6 ",,,,0,0,0,6684000,6684000
448,Pirangut,Vanaha Springs T1 Willow,1,0.4,,,,,0,0,0,4000000,4000000
1903,Pirangut,Vanaha Springs T1 Willow,4,1.7,,,,,0,0,0,17000000,17000000
629,Undri,Bliss Solitaire,2,0.4615,,"5,2/4",,,0,0,0,4615000,4615000
717,Undri,Bliss Solitaire,2,0.5179,,"5,2/4",,,0,0,0,5179000,5179000
663,Pimpri Chinchwad,Pinnacle Horizon,2,0.405,,,,,0,0,0,4050000,4050000
930,Pimpri Chinchwad,Pinnacle Horizon,3,0.609,,,,,0,0,0,6090000,6090000
212,Manjari,Godrej Parkridge,1,0.2517,,,,3,0,0,0,2517000,2517000
725,Manjari,Godrej Parkridge,3,0.726,,,,3,0,0,0,7260000,7260000
894,Bavdhan,Bavdhan,4,5.15,,,,,10,0,1,51500000,50500000
894,Bavdhan,Bavdhan,4,5.15,,,,,10,0,1,51500000,50500000
733,Bavdhan,Bavdhan,1,0.65,"[nan, nan]",,,,0,0,1,6500000,6500000
850,Aundh,Rohan Nilay,2,1,"[nan, nan]",,,,2,1,0,10000000,9800000
1150,Wagholi,Marvel Ganga Fria,3,0.95,"[nan, nan]",,,,1.9,0,1,9500000,9310000
792,Bavdhan,Pebbles Urbania,2,0.75,"[nan, nan]",,,,1.5,1,0,7500000,7350000
750,Baner,Malpani Vivanta,2,0.82,"[nan, nan]",,,,0,1,0,8200000,8200000
700,Tathawade,Vilas Yashone Infinitee,2,0.55,"[nan, nan]",,,,0,0,0,5500000,5500000
1255,Baner,ABIL Group Imperial Atria,2,2.94,,,,,3.2,1,0,29400000,29080000
1770,Baner,ABIL Group Imperial Atria,3,4.15,,,,,3.2,1,0,41500000,41180000
891,Anand Nagar,Goel Amrut Ganga,2,0.75,,,,,1.5,0,1,7500000,7350000
891,Anand Nagar,Goel Amrut Ganga,2,0.75,,,,,1.5,0,1,7500000,7350000
697,Maan,Shapoorji Pallonji Sensorium,2,0.68,"[nan, nan]",,,,0,0,0,6800000,6800000
1160,Anand Nagar,Saarrthi Shimmer And Shine II,3,1.59,"[nan, nan]",,,,0,1,0,15900000,15900000
479,Maan,Yellowstone Sportsville,1,0.34,"[nan, nan]",,,,0,0,1,3400000,3400000
650,Mahalunge,Township Codename Blue Waters,2,0.65,"[nan, nan]",,,,0,1,0,6500000,6500000
630,Handewadi Road-Hadapsar,Silver Stone,2,0.3981,"[nan, nan]",,,8,0,0,0,3981000,3981000
5850,Koregaon Park,Ajmera Aria,4,8.95,"['320', '320']",,,,0,0,0,89500000,89500000
634,Mundhwa,Excellaa Tremont,2,0.45,"[nan, nan]",,,,0,0,1,4500000,4500000
860,Anand Nagar,Arti mist,2,0.95,"[nan, nan]",,,,0,1,0,9500000,9500000
747,Dhanori,Raojee Palladium Plus,2,0.65,"[nan, nan]",,,,0,0,1,6500000,6500000
700,Wakad,Sukhwani Skylines,2,0.7,"[nan, nan]",,,,0,0,1,7000000,7000000
725,Hadapsar,Kalpataru Serenity Bldg 5,2,0.56,"[nan, nan]",,,,0,0,1,5600000,5600000
1035,Ravet,K Town,3,0.68,"[nan, nan]",,,,0,1,0,6800000,6800000
2250,Balewadi,Marvel Cascada,3,2.5,"[nan, nan]",,,,5,1,0,25000000,24500000
1550,Chandan Nagar,Chandan Nagar,3,1.5,"[nan, nan]",,,,1,0,1,15000000,14900000
691,Bhugaon,Aryavart Star Altair,2,0.58,"[nan, nan]",,,,1.2,1,0,5800000,5680000
1600,Bavdhan,Geras Isle Royale,3,1.55,"[nan, nan]",,,,0,1,0,15500000,15500000
600,Hadapsar,Yemul And Sancheti Yes Residency,2,0.55,"[nan, nan]",,,,0,0,1,5500000,5500000
854,Baner,Aditi Ribera,2,0.99,,,,,2.2,1,0,9900000,9680000
993,Baner,Aditi Ribera,3,1.4,,,,,2.2,1,0,14000000,13780000
973,Maan,Shapoorji Pallonji Sensorium,3,0.99,"[nan, nan]",,,,0,0,0,9900000,9900000
510,Wakad,Padmavati Lakeshore,1,0.45,"[nan, nan]",,,,0,1,0,4500000,4500000
456,Hinjewadi,Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase I,1,0.36,"[nan, nan]",,,,0,1,0,3600000,3600000
743,Hadapsar,Sai Proviso Leisure Town,2,0.58,"[nan, nan]",,,,0,0,1,5800000,5800000
900,Anand Nagar,Mittal Sun Empire,3,1.25,"[nan, nan]",,,,2.5,1,0,12500000,12250000
853,Kharadi,Mittal Silver Crescent,2,0.7,"[nan, nan]",,,,1.2,0,1,7000000,6880000
640,Mundhwa,Excellaa Tremont,2,0.53,"[nan, nan]",,,,0,0,1,5300000,5300000
900,Ravet,Runal Spacio,3,0.65,"[nan, nan]",,,,0,1,0,6500000,6500000
826,Balewadi,Naiknavare Avon Vista Project 3,2,0.8,"[nan, nan]",,,,0,1,0,8000000,8000000
700,Narhe,Marcella pune,2,0.48,"[nan, nan]",,,,0,1,0,4800000,4800000
1760,Kharadi,Geras Song Of Joy,3,1.4,"[nan, nan]",,,,2.8,0,1,14000000,13720000
715,Hinjewadi,Redshift Bloomville,2,0.6,"[nan, nan]",,,,0,1,0,6000000,6000000
712,Dhayri,Marvella,2,0.49,"[nan, nan]",,,,0,1,0,4900000,4900000
710,Ravet,Saheel Waterfront,2,0.5,"[nan, nan]",,,,0,1,0,5000000,5000000
460,Hadapsar,Sai Proviso Leisure Town Phase 1,1,0.36,"[nan, nan]",,,,0,0,1,3600000,3600000
1250,Anand Nagar,Sable Shivsagar Platinum,3,1.45,"[nan, nan]",,,,2.9,1,0,14500000,14210000
910,Kharadi,Pittie Kourtyard,2,0.95,"[nan, nan]",,,,1.8,0,1,9500000,9320000
641,Hadapsar,Prithvi Presidio,2,0.65,"[nan, nan]",,,,0,0,1,6500000,6500000
764,Hinjewadi,Park District,2,0.59,"[nan, nan]",,,,0,1,0,5900000,5900000
730,Mahalunge,Codename 1873,2,0.545,"[nan, nan]",,,,0,1,0,5450000,5450000
1261,Mahalunge,saarrthi 1873,3,0.96,"[nan, nan]",,,,0,1,0,9600000,9600000
1400,Kharadi,Kolte Patil Langston,3,1.35,"[nan, nan]",,,,2.7,1,0,13500000,13230000
826,Balewadi,Naiknavare Avon Vista Project 3,2,0.95,"[nan, nan]",,,,0,1,0,9500000,9500000
1700,Kharadi,Panchshil Realty Towers,3,2.75,"[nan, nan]",,,,2.8,0,1,27500000,27220000
905,Ravet,Urban Skyline,2,0.795,"[nan, nan]",,,,0,1,0,7950000,7950000
718,Kharadi,Shubh Shagun,2,0.65,"[nan, nan]",,,,0,1,0,6500000,6500000
456,Hinjewadi,Kolte Patil Life Republic Sector R10 10th Avenue Universe Phase I,1,0.37,"[nan, nan]",,,,0,1,0,3700000,3700000
919,Wakad,Goel Ganga Asmi,3,0.84,"[nan, nan]",,,,0,1,0,8400000,8400000
730,Kharadi,VTP Altair,2,0.665,"[nan, nan]",,,,0,0,1,6650000,6650000
722,Kharadi,Duville Riverdale Heights,2,0.85,"[nan, nan]",,,,0,1,0,8500000,8500000
420,Maan,TCG The Cliff Garden Apartments,1,0.355,"[nan, nan]",,,,0,0,1,3550000,3550000
1070,Baner,Supreme Estia Phase I,3,1.29,"[nan, nan]",,,,0,1,0,12900000,12900000
1120,Kothrud,Vedvihar kothrud,3,1.76,"[nan, nan]",,,,0,0,0,17600000,17600000
790,Wagholi,Geras World Of Joy S,2,0.84,"[nan, nan]",,,,0,1,0,8400000,8400000
1042,Ravet,Urban Skyline Phase I,3,0.905,"[nan, nan]",,,,0,0,1,9050000,9050000
898,Kharadi,Goel Ganga Altus Wing D And E,3,0.82,"[nan, nan]",,,,0,1,0,8200000,8200000
932,Baner,Rahul Arcus,2,0.9946,"[nan, nan]",,,,0,1,0,9946000,9946000
826,Kharadi,Nyati Elysia II,2,0.9,"[nan, nan]",,,,1.8,1,0,9000000,8820000
950,Kothrud,Eklavya Collage,2,1.2,"[nan, nan]",,,,1,1,0,12000000,11900000
720,Dhayri,Sterling Nisarga II,2,0.58,"[nan, nan]",,,,1,0,1,5800000,5700000
789,Bhoirwadi,Shapoorji Pallonji Joyville Hinjawadi I Phase 5,2,0.78,"[nan, nan]",,,,0,0,0,7800000,7800000
447,Manjari Khurd,VTP Township Codename Pegasus,1,0.3707,"[nan, nan]",,,,0,0,0,3707000,3707000
471,Ambegaon Budruk,A Familia,1,0.305,,May-15,,2,0,0,0,3050000,3050000
680,Ambegaon Budruk,A Familia,2,0.44,,May-15,,2,0,0,0,4400000,4400000
1250,Hadapsar,Kumar Prospera,3,1.28,"[nan, nan]",,,,0,0,1,12800000,12800000
900,Dhayri,DSK DSK Saptasur Phase 4,2,0.45,"[nan, nan]",,,,0,1,0,4500000,4500000
